table_name,column_name,data_type
ACCOUNT_EXPLORATION_ALH_account_filtered,_fivetran_deleted,BOOL
ACCOUNT_EXPLORATION_ALH_account_filtered,_fivetran_synced,TIMESTAMP
ACCOUNT_EXPLORATION_ALH_account_filtered,account_email_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,account_erp_number_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,account_external_id_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,account_number,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,account_password_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,account_source,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,acknowledgement_channel_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,acknowledgement_date_c,TIMESTAMP
ACCOUNT_EXPLORATION_ALH_account_filtered,active_c,BOOL
ACCOUNT_EXPLORATION_ALH_account_filtered,addition_boutique_appointment_email_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,annual_revenue,FLOAT64
ACCOUNT_EXPLORATION_ALH_account_filtered,appointment_active_c,BOOL
ACCOUNT_EXPLORATION_ALH_account_filtered,average_inventory_c,FLOAT64
ACCOUNT_EXPLORATION_ALH_account_filtered,billing_city,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,billing_country,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,billing_country_code,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,billing_geocode_accuracy,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,billing_latitude,FLOAT64
ACCOUNT_EXPLORATION_ALH_account_filtered,billing_longitude,FLOAT64
ACCOUNT_EXPLORATION_ALH_account_filtered,billing_postal_code,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,billing_state,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,billing_state_code,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,billing_street,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,boutique_type_2_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,boutique_type_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,channel_program_level_name,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,channel_program_name,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,company_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,contact_id_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,contact_method_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,created_by_id,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,created_date,TIMESTAMP
ACCOUNT_EXPLORATION_ALH_account_filtered,creation_date_c,TIMESTAMP
ACCOUNT_EXPLORATION_ALH_account_filtered,currency_iso_code,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,customer_fair_c,BOOL
ACCOUNT_EXPLORATION_ALH_account_filtered,description,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,discount_c,FLOAT64
ACCOUNT_EXPLORATION_ALH_account_filtered,discount_marketing_c,FLOAT64
ACCOUNT_EXPLORATION_ALH_account_filtered,discount_tourbillon_c,FLOAT64
ACCOUNT_EXPLORATION_ALH_account_filtered,do_not_wish_to_be_contacted_c,BOOL
ACCOUNT_EXPLORATION_ALH_account_filtered,e_commerce_mp_open_id_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,e_crm_cegid_feature_c,BOOL
ACCOUNT_EXPLORATION_ALH_account_filtered,e_crm_e_sav_feature_c,BOOL
ACCOUNT_EXPLORATION_ALH_account_filtered,e_crm_price_estimator_feature_c,BOOL
ACCOUNT_EXPLORATION_ALH_account_filtered,e_crm_restricted_c,BOOL
ACCOUNT_EXPLORATION_ALH_account_filtered,e_crmto_hublotista_c,BOOL
ACCOUNT_EXPLORATION_ALH_account_filtered,email_for_duplicate_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,email_website_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,erp_number_02_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,erp_number_03_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,erp_sav_number_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,et_4_ae_5_has_opted_out_of_mobile_pc,BOOL
ACCOUNT_EXPLORATION_ALH_account_filtered,et_4_ae_5_mobile_country_code_pc,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,external_competitors_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,factory_visit_email_recipient_pc,BOOL
ACCOUNT_EXPLORATION_ALH_account_filtered,fax,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,first_name,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,first_name_kana_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,firstname_romaji_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,full_name_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,function_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,gender_pc,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,gps_latitude_c,FLOAT64
ACCOUNT_EXPLORATION_ALH_account_filtered,gps_longitude_c,FLOAT64
ACCOUNT_EXPLORATION_ALH_account_filtered,hobbies_sports_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,hublot_com_active_c,BOOL
ACCOUNT_EXPLORATION_ALH_account_filtered,hublotista_card_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,id,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,image_id_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,industry,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,installation_year_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,interest_in_hublot_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,interests_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,internal_competitors_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,is_an_hublot_interco_c,BOOL
ACCOUNT_EXPLORATION_ALH_account_filtered,is_customer_portal,BOOL
ACCOUNT_EXPLORATION_ALH_account_filtered,is_deleted,BOOL
ACCOUNT_EXPLORATION_ALH_account_filtered,is_hublotista_v_2_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,is_partner,BOOL
ACCOUNT_EXPLORATION_ALH_account_filtered,is_person_account,BOOL
ACCOUNT_EXPLORATION_ALH_account_filtered,is_pos_c,BOOL
ACCOUNT_EXPLORATION_ALH_account_filtered,is_primary_boutique_c,BOOL
ACCOUNT_EXPLORATION_ALH_account_filtered,is_priority_record,BOOL
ACCOUNT_EXPLORATION_ALH_account_filtered,is_restricted_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,is_sav_center_c,BOOL
ACCOUNT_EXPLORATION_ALH_account_filtered,is_we_chatista_c,BOOL
ACCOUNT_EXPLORATION_ALH_account_filtered,jigsaw,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,jigsaw_company_id,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,language_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,last_activity_date,TIMESTAMP
ACCOUNT_EXPLORATION_ALH_account_filtered,last_contact_date_c,TIMESTAMP
ACCOUNT_EXPLORATION_ALH_account_filtered,last_customer_modification_c,TIMESTAMP
ACCOUNT_EXPLORATION_ALH_account_filtered,last_entry_in_customer_journey_c,TIMESTAMP
ACCOUNT_EXPLORATION_ALH_account_filtered,last_modified_by_id,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,last_modified_date,TIMESTAMP
ACCOUNT_EXPLORATION_ALH_account_filtered,last_name,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,last_name_kana_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,last_referenced_date,TIMESTAMP
ACCOUNT_EXPLORATION_ALH_account_filtered,last_update_on_boutique_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,last_viewed_date,TIMESTAMP
ACCOUNT_EXPLORATION_ALH_account_filtered,lastname_romaji_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,lifetime_turnover_c,FLOAT64
ACCOUNT_EXPLORATION_ALH_account_filtered,local_customer_group_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,marital_status_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,marketing_cloud_email_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,master_record_id,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,mobile_phone_for_duplicate_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,name,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,nationality_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,nationality_pc,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,new_primary_boutique_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,newsletter_opt_in_c,BOOL
ACCOUNT_EXPLORATION_ALH_account_filtered,newsletter_product_c,BOOL
ACCOUNT_EXPLORATION_ALH_account_filtered,notifications_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,notoriety_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,number_of_employees,INT64
ACCOUNT_EXPLORATION_ALH_account_filtered,open_h_friday_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,open_h_monday_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,open_h_saturday_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,open_h_sunday_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,open_h_thursday_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,open_h_tuesday_c,STRING
